"DateTime","First Doses","Second Doses","Third Doses","Additional Doses","Total"
"2020-12-11 00:00:00",15839,,,,0
"2020-12-18 00:00:00",36653,,,,0
"2020-12-25 00:00:00",36513,,,,0
"2021-01-01 00:00:00",19374,42,,,0
"2021-01-08 00:00:00",39732,2690,,,0
"2021-01-15 00:00:00",84351,1229,,,0
"2021-01-22 00:00:00",134673,1950,,,0
"2021-01-29 00:00:00",155309,2753,,,0
"2021-02-05 00:00:00",233738,3288,,,0
"2021-02-12 00:00:00",366722,4089,,,0
"2021-02-19 00:00:00",226578,18096,,,0
"2021-02-26 00:00:00",152290,35332,,,0
"2021-03-05 00:00:00",170119,40657,,,0
"2021-03-12 00:00:00",119042,41360,,,0
"2021-03-19 00:00:00",240076,53677,,,0
"2021-03-26 00:00:00",244807,84673,,,0
"2021-04-02 00:00:00",174480,137491,,,0
"2021-04-09 00:00:00",105003,110983,,,0
"2021-04-16 00:00:00",87365,161213,,,0
"2021-04-23 00:00:00",28278,265988,,,0
"2021-04-30 00:00:00",44464,267062,,,0
"2021-05-07 00:00:00",77030,171143,,,0
"2021-05-14 00:00:00",118497,144907,,,0
"2021-05-21 00:00:00",90890,196278,,,0
"2021-05-28 00:00:00",118034,193856,,,0
"2021-06-04 00:00:00",127144,200762,,,0
"2021-06-11 00:00:00",129657,198137,,,0
"2021-06-18 00:00:00",130685,151528,,,0
"2021-06-25 00:00:00",115141,106887,,,0
"2021-07-02 00:00:00",110446,80864,,,0
"2021-07-09 00:00:00",71826,110140,,,0
"2021-07-16 00:00:00",46922,92907,,,0
"2021-07-23 00:00:00",22583,108127,,,0
"2021-07-30 00:00:00",13262,114377,,,0
"2021-08-06 00:00:00",11834,124458,,,0
"2021-08-13 00:00:00",26157,123577,,,0
"2021-08-20 00:00:00",24095,108359,,,0
"2021-08-27 00:00:00",20415,97130,,,0
"2021-09-03 00:00:00",18003,74828,,,0
"2021-09-10 00:00:00",19468,50056,,,0
"2021-09-17 00:00:00",13152,30452,290,,0
"2021-09-24 00:00:00",19985,20235,15758,,0
"2021-10-01 00:00:00",26937,17705,73388,,0
"2021-10-08 00:00:00",44786,15015,100435,,0
"2021-10-15 00:00:00",33836,14029,130760,2,0
"2021-10-22 00:00:00",19041,13237,179066,4,0
"2021-10-29 00:00:00",11397,13053,205441,6,0
"2021-11-05 00:00:00",7827,9858,201623,6,0
"2021-11-12 00:00:00",6102,9449,217051,7,0
"2021-11-19 00:00:00",9572,11480,221349,25,0
"2021-11-26 00:00:00",6312,8290,220973,25,0
"2021-12-03 00:00:00",6556,10794,221536,50,0
"2021-12-10 00:00:00",8029,12866,247287,74,0
"2021-12-17 00:00:00",10182,17173,357711,138,0
"2021-12-24 00:00:00",8659,17549,414170,1016,0
"2021-12-31 00:00:00",4175,9870,133584,3146,0
"2022-01-07 00:00:00",6649,24203,87759,2713,0
"2022-01-14 00:00:00",7586,22589,100184,13581,0
"2022-01-21 00:00:00",6256,34703,59180,7578,0
"2022-01-28 00:00:00",5057,19321,39845,3754,0
"2022-02-04 00:00:00",7388,10455,27713,2018,0
"2022-02-11 00:00:00",5902,6663,29090,1691,0
"2022-02-18 00:00:00",4800,7330,38986,1479,0
"2022-02-25 00:00:00",2586,5351,39805,1754,0
"2022-03-04 00:00:00",2308,4371,20799,1059,0
"2022-03-11 00:00:00",1553,5688,16137,2004,0
"2022-03-18 00:00:00",1798,6424,11492,5153,0
"2022-03-25 00:00:00",13558,3812,7298,11646,0
"2022-04-01 00:00:00",13562,4495,7042,43070,0
"2022-04-08 00:00:00",16793,4852,6433,46586,0
"2022-04-15 00:00:00",10890,5006,7135,79058,0
"2022-04-22 00:00:00",5536,3452,6023,69108,0
"2022-04-29 00:00:00",7134,4131,6731,71298,0
"2022-05-06 00:00:00",4690,3474,5927,43687,0
"2022-05-13 00:00:00",4036,4775,7587,38135,0
"2022-05-20 00:00:00",3828,3237,6047,28163,0
"2022-05-27 00:00:00",2986,3795,6254,16926,0
"2022-06-03 00:00:00",3049,3005,6017,13263,0
"2022-06-10 00:00:00",2608,3589,7500,7957,0
"2022-06-17 00:00:00",2912,4198,5815,6032,0
"2022-06-24 00:00:00",3584,7216,4188,4929,0
"2022-07-01 00:00:00",2489,10610,4055,4747,0
"2022-07-08 00:00:00",2563,7399,3158,3064,0
"2022-07-15 00:00:00",1725,5835,2962,2747,0
"2022-07-22 00:00:00",1502,4673,2460,2031,0
"2022-07-29 00:00:00",1348,4379,2740,1483,0
"2022-08-05 00:00:00",1459,3724,2342,849,0
"2022-08-12 00:00:00",1131,3651,2012,652,0
"2022-08-19 00:00:00",1107,2995,1870,493,0
"2022-08-26 00:00:00",936,3031,1824,297,0
"2022-09-02 00:00:00",784,2973,1877,168,0
"2022-09-09 00:00:00",631,2648,345,18,0